id,user_posted,name,description,date_posted,photos,url,tagged_users,replies,reposts,likes,views,external_url,hashtags,followers,biography,posts_count,profile_image_link,following,is_verified,quotes,bookmarks,parent_post_details,external_image_urls,videos,quoted_post,pred_label_id,pred_label_name,p_Normal,p_Harassment,p_Defamation,p_Misleading,pred_confidence,risk_flag,char_len,word_len
1868159094567121215,bil███ard███,bil███ard███,Brian Austin Green Tells MGK to ‘Grow Up’ After Musician’s Split From Megan Fox: ‘She’s Pregnant’,"""2024-12-15T05:00:11.000Z""",,https://x.com/billboard/status/1868159094567121215,,7,3,43,25007,https://www.billboard.com/music/music-news/brian-austin-green-reacts-megan-fox-machine-gun-kelly-split-1235856363/?utm_campaign=trueanthem&utm_medium=social&utm_source=twitter,,14257909,@billboardcharts • @billboardhiphop • @billboardlatin • @billboardfamily • @billboardpro • @shopbillboard • @billboarddance • @billboardpride,357584,https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,3784,False,1,2,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","[""https://pbs.twimg.com/card_img/1867636129563860992/-o2NDovA?format=jpg&name=orig""]",,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}",2,Defamation,0.1858559,0.020431494,0.7702582,0.023454465,0.7702582,True,97,16
1868369435943116921,nyp███,New███rk ███t,King Charles is ‘furious’ with Prince Andrew over Chinese spy drama that ‘looks bad’ for royal family,"""2024-12-15T18:56:00.000Z""","[""https://pbs.twimg.com/media/Ge3IGeEXEAADk9D.jpg""]",https://x.com/nypost/status/1868369435943116921,,105,68,177,36570,https://trib.al/b5YelMw,,3313888,"Breaking news & features from The New York Post. Follow your favorite sections: @pagesix, @nypmetro, @nypostbiz, @nypostsports, @nypfashion, @nypostopinion",706459,https://pbs.twimg.com/profile_images/966372680306868224/60wfGe9e_normal.jpg,10308,False,9,10,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}",2,Defamation,0.14556105,0.37030292,0.3913655,0.092770554,0.3913655,False,101,17
1868393598422548766,nyp███,New███rk ███t,"Chris Christie says drones flew over his NJ home, too — and rips DHS chief Mayorkas for claiming nothing ‘unusual’: ‘It’s just wrong!’","""2024-12-15T20:32:01.000Z""","[""https://pbs.twimg.com/media/Ge3eE3lXcAAv9u7.jpg""]",https://x.com/nypost/status/1868393598422548766,,148,195,949,60809,https://trib.al/HRGTmTa,,3313887,"Breaking news & features from The New York Post. Follow your favorite sections: @pagesix, @nypmetro, @nypostbiz, @nypostsports, @nypfashion, @nypostopinion",706459,https://pbs.twimg.com/profile_images/966372680306868224/60wfGe9e_normal.jpg,10308,False,15,33,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}",2,Defamation,0.16702288,0.3590137,0.4508261,0.023137249,0.4508261,False,134,23
